appbytes,bytes,count,dstbytes,dstload,dstport,dstrate,duration,hops,intpkt,jitter,loss,maxsize,meansize,minsize,packets,pcr,ploss,protocol,rate,rtt,srcbytes,srcload,srcport,srcrate,srcrate,security
0,60,1,0,0.0,5555,0.0,7e-06,22,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,43845,0.0,0.0,0
15388,21268,83,0,0.0,0,0.0,1753.422852,0,920.905938,190.082,0,243,151.914291,64,140,1.0,0.0,17,0.079274,0.0,21268,97.035347,0,0.079274,0.079274,1
15388,21268,83,0,0.0,0,0.0,1753.422852,0,920.905938,190.082,0,243,151.914291,64,140,1.0,0.0,17,0.079274,0.0,21268,97.035347,0,0.079274,0.079274,1
10320,12840,15,0,0.0,1900,0.0,1683.004883,0,1000.616,1920767.744,0,214,214.0,214,60,1.0,0.0,17,0.035056,0.0,12840,61.033691,0,0.035056,0.035056,0
703,913,5,0,0.0,0,0.0,1445.49353,0,0.0,0.0,0,243,182.600006,92,5,1.0,0.0,17,0.002767,0.0,913,5.052946,0,0.002767,0.002767,0
0,60,1,0,0.0,6379,0.0,0.0,13,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,38241,0.0,0.0,1
0,60,1,0,0.0,6379,0.0,0.0,13,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,38241,0.0,0.0,1
0,60,1,0,0.0,80,0.0,0.0,14,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,14294,0.0,0.0,0
4230,6078,15,0,0.0,0,0.0,1350.505859,0,1005.845,1814.172,0,243,138.136368,67,44,1.0,0.0,17,0.03184,0.0,6078,36.004288,0,0.03184,0.03184,1
4230,6078,15,0,0.0,0,0.0,1350.505859,0,1005.845,1814.172,0,243,138.136368,67,44,1.0,0.0,17,0.03184,0.0,6078,36.004288,0,0.03184,0.03184,1
16756,20074,41,0,0.0,0,0.0,1630.722046,0,2659.825,2076.937,0,270,254.101273,83,79,1.0,0.0,17,0.047832,0.0,20074,98.479073,0,0.047832,0.047832,1
16756,20074,41,0,0.0,0,0.0,1630.722046,0,2659.825,2076.937,0,270,254.101273,83,79,1.0,0.0,17,0.047832,0.0,20074,98.479073,0,0.047832,0.047832,1
