bpnn accuracy: Iteration 1, loss = 15.32394343
Iteration 2, loss = 10.97822176
Iteration 3, loss = 9.68636622
Iteration 4, loss = 6.53972576
Iteration 5, loss = 5.27631718
Iteration 6, loss = 5.39115127
Iteration 7, loss = 5.66418484
Iteration 8, loss = 7.18828077
Iteration 9, loss = 8.65012587
Iteration 10, loss = 7.33671509
Iteration 11, loss = 5.93269499
Iteration 12, loss = 5.79282806
Iteration 13, loss = 6.06589833
Iteration 14, loss = 6.02690698
Iteration 15, loss = 5.47579388
Iteration 16, loss = 4.85487479
Iteration 17, loss = 6.35036760
Iteration 18, loss = 4.83188565
Iteration 19, loss = 5.11600778
Iteration 20, loss = 4.30533911
Iteration 21, loss = 4.32286158
Iteration 22, loss = 4.19944781
Iteration 23, loss = 4.79123623
Iteration 24, loss = 4.38993359
Iteration 25, loss = 4.18045753
Iteration 26, loss = 5.51553910
Iteration 27, loss = 5.23998055
Iteration 28, loss = 4.19149938
Iteration 29, loss = 4.72800480
Iteration 30, loss = 4.88215587
Iteration 31, loss = 4.27922616
Iteration 32, loss = 4.39565598
Iteration 33, loss = 4.27955070
Iteration 34, loss = 4.67795621
Iteration 35, loss = 4.28920126
Iteration 36, loss = 4.27984900
Training loss did not improve more than tol=0.000100 for 10 consecutive epochs. Stopping.
0.744
random forest accuracy: 0.882
